,Å´ÉPÅ[ÉXñºÇì¸óÕ,å¯â uÅÉ1,å¯â 1ÅÖuÅÉ2,å¯â 2ÅÖuÅÉ3,å¯â 3ÅÖuÅÉ10,å¯â uÅÑ10
case120,case1-30-1-0-2-2-0-0-1-0-0,71.36,72.90,77.79,80.74,83.38
case121,case1-30-1-0-2-2-0-4-0-0-3,65.06,70.02,72.29,69.26,67.09
case122,case1-30-1-0-2-2-0-4-1-0-3,86.32,87.70,89.38,90.74,91.50
case123,case1-30-1-0-2-2-0-8-0-0-3,72.79,76.93,80.74,83.28,83.10
case124,case1-30-1-0-2-2-0-8-1-0-3,88.38,89.93,91.30,92.43,93.22
case125,case1-30-1-0-2-2-0-12-0-0-3,82.39,84.37,86.88,88.45,89.49
case126,case1-30-1-0-2-2-0-12-1-0-3,90.88,92.47,93.67,94.46,95.02
case127,case1-30-1-0-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case128,case1-30-1-0-2-8-0-0-1-0-0,57.81,65.18,69.76,72.75,73.87
case129,case1-30-1-0-2-8-0-4-0-0-3,42.76,47.51,46.86,48.25,48.04
case130,case1-30-1-0-2-8-0-4-1-0-3,71.05,74.75,78.85,81.33,82.66
case131,case1-30-1-0-2-8-0-8-0-0-3,50.17,56.29,56.15,56.89,56.35
case132,case1-30-1-0-2-8-0-8-1-0-3,73.15,77.20,80.67,83.02,83.94
case133,case1-30-1-0-2-8-0-12-0-0-3,59.05,65.54,67.33,65.97,65.44
case134,case1-30-1-0-2-8-0-12-1-0-3,77.37,80.69,83.35,85.86,86.99
case135,case1-30-1-1-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case136,case1-30-1-1-1-2-1-0-0-0-0,37.49,45.63,50.55,54.17,56.52
case137,case1-30-1-1-1-2-1-0-1-0-0,70.28,67.87,70.15,73.63,76.91
case138,case1-30-1-1-1-2-1-4-0-0-3,67.38,68.84,71.60,72.59,72.61
case139,case1-30-1-1-1-2-1-4-1-0-3,81.39,80.59,81.19,83.23,83.45
case140,case1-30-1-1-1-2-1-8-0-0-3,77.76,79.71,81.48,83.44,83.77
case141,case1-30-1-1-1-2-1-8-1-0-3,87.00,86.98,87.61,88.90,89.77
case142,case1-30-1-1-1-2-1-12-0-0-3,82.73,83.98,85.54,87.17,88.00
case143,case1-30-1-1-1-2-1-12-1-0-3,89.54,89.74,90.51,91.45,92.16
case144,case1-30-1-1-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case145,case1-30-1-1-1-8-1-0-0-0-0,28.61,32.41,36.94,39.66,38.33
case146,case1-30-1-1-1-8-1-0-1-0-0,48.25,53.22,58.69,62.92,65.05
case147,case1-30-1-1-1-8-1-4-0-0-3,44.42,50.09,53.38,54.73,53.65
case148,case1-30-1-1-1-8-1-4-1-0-3,58.31,62.23,67.12,70.20,71.68
case149,case1-30-1-1-1-8-1-8-0-0-3,53.28,58.30,62.32,63.82,62.64
case150,case1-30-1-1-1-8-1-8-1-0-3,64.86,67.79,72.04,75.20,76.22
case151,case1-30-1-1-1-8-1-12-0-0-3,57.84,63.11,66.98,68.78,67.65
case152,case1-30-1-1-1-8-1-12-1-0-3,68.08,71.20,74.93,78.06,79.10
case153,case1-30-1-1-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case154,case1-30-1-1-2-2-1-0-0-0-0,6.29,3.46,3.30,3.05,3.25
case155,case1-30-1-1-2-2-1-0-1-0-0,78.44,76.23,79.97,83.04,85.11
case156,case1-30-1-1-2-2-1-4-0-0-3,67.68,70.61,73.88,71.62,69.84
case157,case1-30-1-1-2-2-1-4-1-0-3,89.52,89.52,90.58,91.73,92.36
case158,case1-30-1-1-2-2-1-8-0-0-3,74.80,77.42,81.24,83.77,83.55
case159,case1-30-1-1-2-2-1-8-1-0-3,91.35,91.55,92.35,93.24,93.91
case160,case1-30-1-1-2-2-1-12-0-0-3,83.72,85.09,87.28,88.83,89.84
case161,case1-30-1-1-2-2-1-12-1-0-3,93.44,93.88,94.56,95.11,95.55
case162,case1-30-1-1-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case163,case1-30-1-1-2-8-1-0-0-0-0,-1.80,1.98,2.16,1.24,1.21
case164,case1-30-1-1-2-8-1-0-1-0-0,62.11,67.11,71.15,74.07,75.15
case165,case1-30-1-1-2-8-1-4-0-0-3,41.66,48.04,47.33,48.45,48.08
case166,case1-30-1-1-2-8-1-4-1-0-3,74.23,76.12,79.69,81.92,83.18
case167,case1-30-1-1-2-8-1-8-0-0-3,49.11,56.85,56.63,57.14,56.63
case168,case1-30-1-1-2-8-1-8-1-0-3,76.62,78.31,81.45,83.55,84.45
case169,case1-30-1-1-2-8-1-12-0-0-3,58.17,65.73,67.70,66.24,65.66
case170,case1-30-1-1-2-8-1-12-1-0-3,79.31,81.47,84.05,86.31,87.33
case171,case1-60-0-0-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case172,case1-60-0-0-1-2-0-0-1-0-0,40.41,33.07,24.55,11.17,17.02
case173,case1-60-0-0-1-2-0-4-0-0-3,31.17,34.18,28.57,10.82,9.54
case174,case1-60-0-0-1-2-0-4-1-0-3,53.60,51.10,42.30,25.76,27.19
case175,case1-60-0-0-1-2-0-8-0-0-3,50.88,54.02,56.22,60.92,55.62
case176,case1-60-0-0-1-2-0-8-1-0-3,66.32,65.01,65.67,66.46,64.71
case177,case1-60-0-0-1-2-0-12-0-0-3,57.76,61.15,62.82,66.38,67.27
case178,case1-60-0-0-1-2-0-12-1-0-3,69.35,69.21,69.46,71.41,72.94
case179,case1-60-0-0-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case180,case1-60-0-0-1-8-0-0-1-0-0,21.35,20.27,26.08,28.25,22.52
case181,case1-60-0-0-1-8-0-4-0-0-3,16.56,16.32,18.40,17.88,12.56
case182,case1-60-0-0-1-8-0-4-1-0-3,32.62,31.71,36.22,37.87,30.02
case183,case1-60-0-0-1-8-0-8-0-0-3,29.57,29.00,31.02,32.53,33.15
case184,case1-60-0-0-1-8-0-8-1-0-3,42.58,41.08,45.13,48.39,47.71
case185,case1-60-0-0-1-8-0-12-0-0-3,35.97,35.51,37.59,39.45,40.42
case186,case1-60-0-0-1-8-0-12-1-0-3,48.01,46.58,49.92,52.80,53.31
case187,case1-60-0-0-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case188,case1-60-0-0-2-2-0-0-1-0-0,77.24,78.53,73.02,57.87,42.47
case189,case1-60-0-0-2-2-0-4-0-0-3,74.85,76.57,72.17,47.02,23.46
case190,case1-60-0-0-2-2-0-4-1-0-3,83.49,85.09,80.40,66.71,50.44
case191,case1-60-0-0-2-2-0-8-0-0-3,79.44,80.94,81.27,74.80,50.99
case192,case1-60-0-0-2-2-0-8-1-0-3,86.24,87.90,85.60,80.97,68.41
case193,case1-60-0-0-2-2-0-12-0-0-3,82.37,84.04,80.73,69.69,44.14
case194,case1-60-0-0-2-2-0-12-1-0-3,86.93,87.98,85.31,80.59,67.13
case195,case1-60-0-0-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case196,case1-60-0-0-2-8-0-0-1-0-0,61.63,57.19,56.85,55.15,54.68
case197,case1-60-0-0-2-8-0-4-0-0-3,50.25,53.26,50.95,48.30,44.05
case198,case1-60-0-0-2-8-0-4-1-0-3,75.44,73.56,75.05,73.08,71.90
case199,case1-60-0-0-2-8-0-8-0-0-3,56.76,59.45,57.37,52.85,48.84
case200,case1-60-0-0-2-8-0-8-1-0-3,78.51,76.89,78.09,74.98,73.25
case201,case1-60-0-0-2-8-0-12-0-0-3,64.66,67.02,66.40,63.27,60.60
case202,case1-60-0-0-2-8-0-12-1-0-3,81.23,80.83,82.23,82.25,79.18
case203,case1-60-0-0-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case204,case1-60-0-0-3-2-0-0-1-0-0,21.31,22.11,34.20,39.22,37.04
case205,case1-60-0-0-3-2-0-4-0-0-3,37.35,46.18,57.04,65.79,74.56
case206,case1-60-0-0-3-2-0-4-1-0-3,46.48,55.21,66.93,73.32,79.42
case207,case1-60-0-0-3-2-0-8-0-0-3,37.62,46.44,57.16,66.10,74.60
case208,case1-60-0-0-3-2-0-8-1-0-3,46.75,55.36,66.97,73.35,79.55
case209,case1-60-0-0-3-2-0-12-0-0-3,45.25,53.94,63.27,70.80,77.82
case210,case1-60-0-0-3-2-0-12-1-0-3,52.11,61.16,71.71,77.20,82.14
case211,case1-60-0-0-3-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case212,case1-60-0-0-3-8-0-0-1-0-0,14.53,21.12,30.65,44.29,43.80
case213,case1-60-0-0-3-8-0-4-0-0-3,6.93,16.83,27.41,44.70,56.07
case214,case1-60-0-0-3-8-0-4-1-0-3,19.08,30.26,43.24,58.83,68.49
case215,case1-60-0-0-3-8-0-8-0-0-3,9.70,16.28,25.99,44.21,56.31
case216,case1-60-0-0-3-8-0-8-1-0-3,19.87,30.75,43.26,58.57,68.57
case217,case1-60-0-0-3-8-0-12-0-0-3,13.99,20.24,29.19,48.22,61.36
case218,case1-60-0-0-3-8-0-12-1-0-3,22.88,32.58,45.33,60.80,70.48
case219,case1-60-0-1-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case220,case1-60-0-1-1-2-1-0-0-0-0,39.58,49.84,53.34,39.67,18.23
case221,case1-60-0-1-1-2-1-0-1-0-0,63.36,67.00,64.32,47.19,33.02
case222,case1-60-0-1-1-2-1-4-0-0-3,58.54,66.47,66.20,46.26,26.07
case223,case1-60-0-1-1-2-1-4-1-0-3,70.83,75.05,72.51,55.77,41.22
case224,case1-60-0-1-1-2-1-8-0-0-3,70.67,76.64,79.22,76.38,63.90
case225,case1-60-0-1-1-2-1-8-1-0-3,78.79,81.97,83.55,79.62,71.39
case226,case1-60-0-1-1-2-1-12-0-0-3,74.61,80.00,82.22,79.55,73.27
case227,case1-60-0-1-1-2-1-12-1-0-3,80.92,84.07,85.19,82.64,77.79
case228,case1-60-0-1-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case229,case1-60-0-1-1-8-1-0-0-0-0,32.53,39.64,50.36,55.68,51.66
case230,case1-60-0-1-1-8-1-0-1-0-0,50.27,52.62,63.60,68.20,62.48
case231,case1-60-0-1-1-8-1-4-0-0-3,44.89,49.30,59.38,63.31,57.74
case232,case1-60-0-1-1-8-1-4-1-0-3,57.99,59.39,68.56,72.53,66.20
case233,case1-60-0-1-1-8-1-8-0-0-3,53.53,56.55,65.56,69.83,67.69
case234,case1-60-0-1-1-8-1-8-1-0-3,64.29,64.89,72.80,77.00,74.85
case235,case1-60-0-1-1-8-1-12-0-0-3,58.07,60.66,68.83,72.91,71.24
case236,case1-60-0-1-1-8-1-12-1-0-3,67.47,67.99,75.18,79.00,77.44
case237,case1-60-0-1-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case238,case1-60-0-1-2-2-1-0-0-0-0,5.27,1.41,2.49,1.42,1.41
case239,case1-60-0-1-2-2-1-0-1-0-0,80.58,80.62,74.59,59.29,44.13
case240,case1-60-0-1-2-2-1-4-0-0-3,76.95,77.50,72.95,47.80,24.72
case241,case1-60-0-1-2-2-1-4-1-0-3,86.28,85.95,81.78,68.63,52.24
case242,case1-60-0-1-2-2-1-8-0-0-3,81.92,81.85,82.00,75.21,51.82
case243,case1-60-0-1-2-2-1-8-1-0-3,88.79,88.65,86.51,81.99,69.96
case244,case1-60-0-1-2-2-1-12-0-0-3,84.09,84.66,81.33,70.13,45.01
case245,case1-60-0-1-2-2-1-12-1-0-3,89.05,88.65,86.22,81.53,68.76
case246,case1-60-0-1-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case247,case1-60-0-1-2-8-1-0-0-0-0,0.35,-0.23,0.36,0.13,0.49
case248,case1-60-0-1-2-8-1-0-1-0-0,66.36,58.71,57.40,55.69,55.35
case249,case1-60-0-1-2-8-1-4-0-0-3,49.42,52.97,50.72,48.75,44.65
case250,case1-60-0-1-2-8-1-4-1-0-3,79.40,75.15,75.80,73.89,72.61
case251,case1-60-0-1-2-8-1-8-0-0-3,57.02,59.54,57.15,53.44,49.42
case252,case1-60-0-1-2-8-1-8-1-0-3,81.90,78.21,78.71,75.91,73.83
case253,case1-60-0-1-2-8-1-12-0-0-3,64.92,66.74,66.09,63.29,60.70
case254,case1-60-0-1-2-8-1-12-1-0-3,83.98,81.83,82.77,82.73,79.45
case255,case1-60-0-1-3-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case256,case1-60-0-1-3-2-1-0-0-0-0,9.17,4.79,7.98,1.84,0.85
case257,case1-60-0-1-3-2-1-0-1-0-0,29.17,27.47,40.34,43.70,36.44
case258,case1-60-0-1-3-2-1-4-0-0-3,41.95,48.79,60.29,67.12,75.50
case259,case1-60-0-1-3-2-1-4-1-0-3,52.20,58.16,70.21,74.74,80.72
case260,case1-60-0-1-3-2-1-8-0-0-3,42.52,48.95,60.38,67.43,75.70
case261,case1-60-0-1-3-2-1-8-1-0-3,52.29,58.36,70.27,75.02,80.71
case262,case1-60-0-1-3-2-1-12-0-0-3,48.56,56.19,66.17,71.71,78.75
case263,case1-60-0-1-3-2-1-12-1-0-3,57.58,63.76,74.49,78.41,83.13
case264,case1-60-0-1-3-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case265,case1-60-0-1-3-8-1-0-0-0-0,-1.95,-2.68,-2.89,-1.49,-3.63
case266,case1-60-0-1-3-8-1-0-1-0-0,11.78,20.41,30.69,43.34,42.49
case267,case1-60-0-1-3-8-1-4-0-0-3,4.62,15.92,24.61,44.04,55.06
case268,case1-60-0-1-3-8-1-4-1-0-3,15.72,30.30,44.63,58.31,67.69
case269,case1-60-0-1-3-8-1-8-0-0-3,8.11,14.74,23.40,43.58,55.15
case270,case1-60-0-1-3-8-1-8-1-0-3,17.10,29.48,43.15,57.70,67.67
case271,case1-60-0-1-3-8-1-12-0-0-3,12.26,18.99,27.10,47.22,60.10
case272,case1-60-0-1-3-8-1-12-1-0-3,20.55,31.89,45.18,60.00,69.63
case273,case1-60-1-0-1-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case274,case1-60-1-0-1-2-0-0-1-0-0,47.80,45.44,45.94,52.57,54.95
case275,case1-60-1-0-1-2-0-4-0-0-3,32.71,33.87,36.96,37.42,31.06
case276,case1-60-1-0-1-2-0-4-1-0-3,59.86,63.31,62.94,66.09,65.98
case277,case1-60-1-0-1-2-0-8-0-0-3,51.01,54.28,57.89,61.75,58.36
case278,case1-60-1-0-1-2-0-8-1-0-3,68.36,72.28,74.63,76.71,76.45
case279,case1-60-1-0-1-2-0-12-0-0-3,60.23,63.93,67.39,70.58,69.32
case280,case1-60-1-0-1-2-0-12-1-0-3,73.72,77.16,79.74,81.98,81.91
case281,case1-60-1-0-1-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case282,case1-60-1-0-1-8-0-0-1-0-0,23.76,21.25,22.55,26.03,30.39
case283,case1-60-1-0-1-8-0-4-0-0-3,15.22,14.17,14.58,15.96,16.66
case284,case1-60-1-0-1-8-0-4-1-0-3,32.87,31.13,32.11,35.21,38.94
case285,case1-60-1-0-1-8-0-8-0-0-3,26.19,26.10,26.22,28.13,28.93
case286,case1-60-1-0-1-8-0-8-1-0-3,40.12,40.06,40.60,43.17,46.23
case287,case1-60-1-0-1-8-0-12-0-0-3,32.60,33.68,33.50,35.33,36.83
case288,case1-60-1-0-1-8-0-12-1-0-3,44.95,45.77,45.92,48.16,51.07
case289,case1-60-1-0-2-2-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case290,case1-60-1-0-2-2-0-0-1-0-0,85.08,85.35,85.25,76.01,76.46
case291,case1-60-1-0-2-2-0-4-0-0-3,82.98,78.38,78.79,77.75,73.99
case292,case1-60-1-0-2-2-0-4-1-0-3,90.52,92.75,93.04,93.18,92.74
case293,case1-60-1-0-2-2-0-8-0-0-3,85.92,81.70,81.74,82.13,79.70
case294,case1-60-1-0-2-2-0-8-1-0-3,91.89,93.92,94.39,94.62,94.67
case295,case1-60-1-0-2-2-0-12-0-0-3,90.93,89.93,89.52,89.67,89.35
case296,case1-60-1-0-2-2-0-12-1-0-3,93.24,95.14,95.71,96.05,96.06
case297,case1-60-1-0-2-8-0-0-0-0-0,0.00,0.00,0.00,0.00,0.00
case298,case1-60-1-0-2-8-0-0-1-0-0,66.92,58.58,57.34,57.32,57.29
case299,case1-60-1-0-2-8-0-4-0-0-3,51.97,54.78,49.10,43.41,38.59
