,Å´ÉPÅ[ÉXñºÇì¸óÕ,å¯â uÅÉ1,å¯â 1ÅÖuÅÉ2,å¯â 2ÅÖuÅÉ3,å¯â 3ÅÖuÅÉ10,å¯â uÅÑ10
case72,case1-30-0-0-2-10-0-0-1-0-0.png,80.3,87.3,85.5,84.3,83.7
case73,case1-30-0-0-2-10-0-4-0-0-3.png,86.8,89.8,88.5,86.9,86.4
case74,case1-30-0-0-2-10-0-4-0-0-6.png,83.7,88.1,86.9,86.2,85.9
case75,case1-30-0-0-2-10-0-4-1-0-3.png,87.7,90.7,89.6,88.6,88.2
case76,case1-30-0-0-2-10-0-4-1-0-6.png,82.9,69,74.3,75.7,69.1
case77,case1-30-0-0-2-10-0-8-0-0-3.png,89.1,81.1,80.8,78.7,73.6
case78,case1-30-0-0-2-10-0-8-0-0-6.png,87.3,84.9,84.9,84.5,81.8
case79,case1-30-0-0-2-10-0-8-1-0-3.png,89.9,87.1,87.3,86.6,85
case80,case1-30-0-0-2-10-0-8-1-0-6.png,89.2,82,82.7,81.3,78.6
case81,case1-30-0-0-2-10-0-12-0-0-3.png,89.2,85.3,86.9,86,83.3
case82,case1-30-0-0-2-10-0-12-0-0-6.png,87.5,86.3,88.4,89.2,88.5
case83,case1-30-0-0-2-10-0-12-1-0-3.png,89.9,89.9,91.7,91.9,90.9
case84,case1-30-0-0-2-10-0-12-1-0-6.png,87.5,86.3,88.4,89.3,88.5
case85,case1-30-0-0-3-1-0-0-0-0-0.png,89.9,90,91.8,91.9,90.9
case86,case1-30-0-0-3-1-0-0-1-0-0.png,89,88.1,90.2,90.9,90.3
case87,case1-30-0-0-3-1-0-0-1-0-3.png,90.9,91.4,92.9,93.2,92.2
case88,case1-30-0-0-3-1-0-4-0-0-3.png,0,0,0,0,0
case89,case1-30-0-0-3-1-0-4-0-0-6.png,32.8,33.3,34.6,31.7,20.2
case90,case1-30-0-0-3-1-0-4-1-0-3.png,36.7,36,33.6,27.5,21.7
case91,case1-30-0-0-3-1-0-4-1-0-6.png,56.2,53.9,54.1,47.6,34.6
case92,case1-30-0-0-3-1-0-8-0-0-3.png,57.9,55.3,55.9,56.8,55.7
case93,case1-30-0-0-3-1-0-8-0-0-6.png,67.5,66.8,66.8,67.9,64.2
case94,case1-30-0-0-3-1-0-8-1-0-3.png,61.9,62.1,62.7,65,65
case95,case1-30-0-0-3-1-0-8-1-0-6.png,72,71.6,71.4,72.9,71.1
case96,case1-30-0-0-3-1-0-12-0-0-3.png,0,0,0,0,0
case97,case1-30-0-0-3-1-0-12-0-0-6.png,68.3,61.6,54.8,52.5,51.3
case98,case1-30-0-0-3-1-0-12-1-0-6.png,64.8,63.4,60.7,54.1,50.1
case99,case1-30-0-0-3-4-0-0-0-0-0.png,81.7,81,79.3,70.4,60.2
case100,case1-30-0-0-3-4-0-0-1-0-0.png,69.2,71.4,70.8,63.6,61.7
case101,case1-30-0-0-3-4-0-4-0-0-3.png,85.3,84.4,83.7,80,71.1
case102,case1-30-0-0-3-4-0-4-0-0-6.png,75.9,77.6,77.7,72,65.5
case103,case1-30-0-0-3-4-0-4-1-0-3.png,87.6,86.8,85.4,78.9,71.3
case104,case1-30-0-0-3-4-0-4-1-0-6.png,0,0,0,0,0
case105,case1-30-0-0-3-4-0-8-0-0-3.png,21.9,59.4,56.3,41.1,31.1
case106,case1-30-0-0-3-4-0-8-0-0-6.png,15.7,56.4,62,65.9,67.4
case107,case1-30-0-0-3-4-0-8-1-0-3.png,30.6,71.8,72.9,74.1,75
case108,case1-30-0-0-3-4-0-8-1-0-6.png,16,56.3,61.7,66,67.3
case109,case1-30-0-0-3-4-0-12-0-0-3.png,32.8,72.4,73.3,73.9,75.1
case110,case1-30-0-0-3-4-0-12-0-0-6.png,19.3,60.8,65.9,70.3,72.7
case111,case1-30-0-0-3-4-0-12-1-0-3.png,33.6,73.5,75.8,77.2,79.2
case112,case1-30-0-0-3-4-0-12-1-0-6.png,0,0,0,0,0
case113,case1-30-0-0-3-10-0-0-0-0-0.png,15.5,29.9,30.9,29.1,18.9
case114,case1-30-0-0-3-10-0-0-1-0-0.png,44.8,53.4,55.3,52.9,34.4
case115,case1-30-0-0-3-10-0-4-0-0-3.png,45.6,55,53.9,48.3,36.2
case116,case1-30-0-0-3-10-0-4-0-0-6.png,63.6,67,68.2,62.8,47
case117,case1-30-0-0-3-10-0-4-1-0-3.png,62.1,67.6,69.1,69,63.4
case118,case1-30-0-0-3-10-0-4-1-0-6.png,71.5,75.7,76.6,77.1,70.7
case119,case1-30-0-0-3-10-0-8-0-0-3.png,68.2,72.5,73.8,74.9,71.2
case120,case1-30-0-0-3-10-0-8-0-0-6.png,75.8,79.3,79.8,80.5,76.4
case121,case1-30-0-0-3-10-0-8-1-0-3.png,0,0,0,0,0
case122,case1-30-0-0-3-10-0-8-1-0-6.png,-1.2,-7.7,0.9,2.3,-0.6
case123,case1-30-0-0-3-10-0-12-0-0-3.png,70.5,60.3,56.1,53.4,51.6
case124,case1-30-0-0-3-10-0-12-0-0-6.png,67,59.7,61.1,54.5,51.2
case125,case1-30-0-0-3-10-0-12-1-0-3.png,82.7,79.5,79.8,71,60.6
case126,case1-30-0-0-3-10-0-12-1-0-6.png,69.3,68.4,70.6,63.5,61.9
case127,case1-30-0-1-1-1-0-0-0-0-0.png,85.7,83.1,84.1,80.2,71.7
case128,case1-30-0-1-1-1-1-0-0-0-0.png,75.6,75.2,77.8,72.3,65.7
case129,case1-30-0-1-1-1-1-0-1-0-0.png,88.1,85.5,85.5,79,71.8
case130,case1-30-0-1-1-1-1-4-0-0-3.png,0,0,0,0,0
case131,case1-30-0-1-1-1-1-4-0-0-6.png,-8,1.2,-0.6,2.2,4.4
case132,case1-30-0-1-1-1-1-4-1-0-3.png,16.5,52.3,51.7,39.4,31
case133,case1-30-0-1-1-1-1-4-1-0-6.png,12.3,48.8,58.7,64.7,65.8
case134,case1-30-0-1-1-1-1-8-0-0-3.png,28,65.9,70.6,72.7,73.7
case135,case1-30-0-1-1-1-1-8-0-0-6.png,15.8,48.9,58.9,65,66.1
case136,case1-30-0-1-1-1-1-8-1-0-3.png,29.2,66.2,70.4,72.7,74
case137,case1-30-0-1-1-1-1-8-1-0-6.png,20.4,53.4,63,69.7,72
case138,case1-30-0-1-1-1-1-12-0-0-3.png,32.9,68.8,72.9,76.1,78.2
case139,case1-30-0-1-1-1-1-12-0-0-6.png,36.8,36.1,33.5,27.7,23.6
case140,case1-30-0-1-1-1-1-12-1-0-3.png,55.3,53.5,54,47.8,36.1
case141,case1-30-0-1-1-1-1-12-1-0-6.png,57,55.1,55.9,56.9,56.1
case142,case1-30-0-1-1-4-0-0-0-0-0.png,67.8,65.8,66.6,67.9,64.5
case143,case1-30-0-1-1-4-1-0-0-0-0.png,61.7,62.1,62.6,65.1,65.4
case144,case1-30-0-1-1-4-1-0-1-0-0.png,71.9,71.3,71.3,72.8,71.6
case145,case1-30-0-1-1-4-1-4-0-0-3.png,63.2,62.9,60.1,53.6,50.6
case146,case1-30-0-1-1-4-1-4-0-0-6.png,81.9,80.9,79.4,70.4,60.5
case147,case1-30-0-1-1-4-1-4-1-0-3.png,67.3,71.4,70.6,63.6,62
case148,case1-30-0-1-1-4-1-4-1-0-6.png,85.2,84.4,83.7,79.9,71.4
case149,case1-30-0-1-1-4-1-8-0-0-3.png,76.4,77.3,77.5,72.2,65.9
case150,case1-30-0-1-1-4-1-8-0-0-6.png,87.8,86.6,85.3,79,71.5
case151,case1-30-0-1-1-4-1-8-1-0-3.png,14.9,56.2,61.6,66.3,67.8
case152,case1-30-0-1-1-4-1-8-1-0-6.png,29.9,71.5,72.6,73.7,74.9
case153,case1-30-0-1-1-4-1-12-0-0-3.png,14.2,56,61.5,66.3,67.8
case154,case1-30-0-1-1-4-1-12-0-0-6.png,30.6,71.4,73.1,74.2,75.6
case155,case1-30-0-1-1-4-1-12-1-0-3.png,17.1,60.3,65.5,70.5,73.4
case156,case1-30-0-1-1-4-1-12-1-0-6.png,30.9,72.5,75.7,77.6,79.6
case157,case1-30-0-1-1-10-0-0-0-0-0.png,45.6,54.7,54.1,49.1,37.9
case158,case1-30-0-1-1-10-1-0-0-0-0.png,63,67.1,68.3,63.2,48.7
case159,case1-30-0-1-1-10-1-0-1-0-0.png,62.7,67.4,69,69.2,64
case160,case1-30-0-1-1-10-1-4-0-0-3.png,72.2,75.2,76.5,77.1,70.8
case161,case1-30-0-1-1-10-1-4-0-0-6.png,68.1,72.5,73.7,75,71.6
case162,case1-30-0-1-1-10-1-4-1-0-3.png,75.7,78.9,79.7,80.5,76.7
case163,case1-30-0-1-1-10-1-4-1-0-6.png,65.4,58.8,60.3,54.1,51
case164,case1-30-0-1-1-10-1-8-0-0-3.png,82.1,79.4,79.8,70.9,60.9
case165,case1-30-0-1-1-10-1-8-0-0-6.png,68,68.2,70.9,63.9,62.4
case166,case1-30-0-1-1-10-1-8-1-0-3.png,85.7,83.1,84.1,80.3,71.9
case167,case1-30-0-1-1-10-1-8-1-0-6.png,75.8,74.8,77.6,72.3,66
case168,case1-30-0-1-1-10-1-12-0-0-3.png,87.5,85.5,85.5,79.1,72
case169,case1-30-0-1-1-10-1-12-0-0-6.png,10.9,48.5,58.4,65.1,66.5
case170,case1-30-0-1-1-10-1-12-1-0-3.png,26.9,65.7,69.7,72.7,73.8
case171,case1-30-0-1-1-10-1-12-1-0-6.png,15.3,48.5,58.5,65.5,66.8
case172,case1-30-0-1-2-1-0-0-0-0-0.png,28.7,65.3,70.3,72.9,74.2
case173,case1-30-0-1-2-1-1-0-0-0-0.png,16.6,52.6,63.2,69.8,72.4
case174,case1-30-0-1-2-1-1-0-1-0-0.png,31.3,68,72.9,76.3,78.6
case175,case1-30-0-1-2-1-1-4-0-0-3.png,0,0,0,0,0
case176,case1-30-0-1-2-1-1-4-0-0-6.png,30.4,27.9,29.1,27.6,25.2
case177,case1-30-0-1-2-1-1-4-1-0-3.png,30.5,22.9,18.8,17,17.1
case178,case1-30-0-1-2-1-1-4-1-0-6.png,43.5,41.2,40.3,36.5,33.9
case179,case1-30-0-1-2-1-1-8-0-0-3.png,43,38.5,33.8,29.6,31.9
case180,case1-30-0-1-2-1-1-8-0-0-6.png,54.2,51.5,51.6,48.5,50.4
case181,case1-30-0-1-2-1-1-8-1-0-3.png,50.5,45.7,41.7,37.1,39
case182,case1-30-0-1-2-1-1-8-1-0-6.png,58.5,56.6,57,53.8,55.4
case183,case1-30-0-1-2-1-1-12-0-0-3.png,0,0,0,0,0
case184,case1-30-0-1-2-1-1-12-0-0-6.png,43,38.4,43.2,42.4,33.9
case185,case1-30-0-1-2-1-1-12-1-0-3.png,46.9,39.8,39.9,36.3,30.2
case186,case1-30-0-1-2-1-1-12-1-0-6.png,70.5,58.9,55.8,53.2,49.5
case187,case1-30-0-1-2-4-0-0-0-0-0.png,53.8,49.3,46.5,42.7,36.8
case188,case1-30-0-1-2-4-1-0-0-0-0.png,74.5,66.4,62.2,58.4,54.8
case189,case1-30-0-1-2-4-1-0-1-0-0.png,63.7,61.5,57.7,52.5,45
case190,case1-30-0-1-2-4-1-4-0-0-3.png,78.7,75.3,72.7,67.3,62.7
case191,case1-30-0-1-2-4-1-4-0-0-6.png,0,0,0,0,0
case192,case1-30-0-1-2-4-1-4-1-0-3.png,69.9,82.9,68.8,55.7,44.8
case193,case1-30-0-1-2-4-1-4-1-0-6.png,60.5,53.3,44.2,43.7,48.8
case194,case1-30-0-1-2-4-1-8-0-0-3.png,74.3,86.6,84.1,78.4,73.5
case195,case1-30-0-1-2-4-1-8-0-0-6.png,45.8,52.3,44,44.4,48.8
case196,case1-30-0-1-2-4-1-8-1-0-3.png,83.8,88.1,85,78.3,73.7
case197,case1-30-0-1-2-4-1-8-1-0-6.png,86.1,64.1,58.6,56.1,59.5
case198,case1-30-0-1-2-4-1-12-0-0-3.png,86,89.6,86.1,81.1,75.8
case199,case1-30-0-1-2-4-1-12-0-0-6.png,0,0,0,0,0
case200,case1-30-0-1-2-4-1-12-1-0-3.png,8.3,20.1,22.9,21.9,14.2
case201,case1-30-0-1-2-4-1-12-1-0-6.png,33.2,41.9,45.1,43.4,35.9
case202,case1-30-0-1-2-10-0-0-0-0-0.png,30.3,38.9,37,35.1,29
case203,case1-30-0-1-2-10-1-0-0-0-0.png,44.8,52.7,53.6,50,43.2
case204,case1-30-0-1-2-10-1-0-1-0-0.png,44.6,50.6,48.4,44.9,41.4
case205,case1-30-0-1-2-10-1-4-0-0-3.png,55.2,59.9,61.9,59.4,57.1
case206,case1-30-0-1-2-10-1-4-0-0-6.png,52.1,56.3,54.9,50.5,47.6
case207,case1-30-0-1-2-10-1-4-1-0-3.png,59.1,63.9,66.1,63.5,61.6
case208,case1-30-0-1-2-10-1-4-1-0-6.png,0,0,0,0,0
case209,case1-30-0-1-2-10-1-8-0-0-3.png,-11,1.7,-2.7,4.1,8
case210,case1-30-0-1-2-10-1-8-0-0-6.png,41.5,38.8,42.7,44.8,39.5
case211,case1-30-0-1-2-10-1-8-1-0-3.png,42.6,40,39,39,36
case212,case1-30-0-1-2-10-1-8-1-0-6.png,68.4,60.1,56.3,55.8,54.1
case213,case1-30-0-1-2-10-1-12-0-0-3.png,50.4,49.4,45.8,45.1,42.7
case214,case1-30-0-1-2-10-1-12-0-0-6.png,72.8,66.7,61.9,60.3,58.8
case215,case1-30-0-1-2-10-1-12-1-0-3.png,59.1,61.4,57,54.3,49.6
case216,case1-30-0-1-2-10-1-12-1-0-6.png,76.9,75.6,72.2,68.8,65.8
case217,case1-30-0-1-3-1-0-0-0-0-0.png,0,0,0,0,0
case218,case1-30-0-1-3-1-1-0-0-0-0.png,23.8,-3.2,-1.6,-0.5,0.7
case219,case1-30-0-1-3-1-1-0-1-0-0.png,88.5,88.6,66.2,51.8,41.5
case220,case1-30-0-1-3-1-1-4-0-0-3.png,40.2,45.6,38.2,38.1,43.3
case221,case1-30-0-1-3-1-1-4-0-0-6.png,87.6,90.3,86.6,76.6,70.5
case222,case1-30-0-1-3-1-1-4-1-0-3.png,44.1,45.4,38.8,38.5,43.7
case223,case1-30-0-1-3-1-1-4-1-0-6.png,88.4,90.4,86.3,76.1,70.3
case224,case1-30-0-1-3-1-1-8-0-0-3.png,50.9,58.4,53.9,51.1,54.9
case225,case1-30-0-1-3-1-1-8-0-0-6.png,88.4,90.7,86.7,78.8,72.7
case226,case1-30-0-1-3-1-1-8-1-0-3.png,28.1,22.7,18.6,17.1,17.5
case227,case1-30-0-1-3-1-1-8-1-0-6.png,45.8,41.2,40.6,36.7,34.1
case228,case1-30-0-1-3-1-1-12-0-0-3.png,40.9,38.1,33.6,29.6,32.1
case229,case1-30-0-1-3-1-1-12-0-0-6.png,52.2,51.3,51.5,48.5,50.2
case230,case1-30-0-1-3-1-1-12-1-0-3.png,48.3,45.3,41.9,37.2,39.3
case231,case1-30-0-1-3-1-1-12-1-0-6.png,58.6,56.3,57.1,53.8,55.6
case232,case1-30-0-1-3-4-0-0-0-0-0.png,42.8,39.7,38.8,39.1,36.1
case233,case1-30-0-1-3-4-1-0-0-0-0.png,68.4,58.8,55.3,55.3,53.8
case234,case1-30-0-1-3-4-1-0-1-0-0.png,51.3,49.4,45.9,45.2,42.8
case235,case1-30-0-1-3-4-1-4-0-0-3.png,71.4,66.6,61.8,60.2,58.7
case236,case1-30-0-1-3-4-1-4-0-0-6.png,58.8,61.5,57.1,54.4,49.5
case237,case1-30-0-1-3-4-1-4-1-0-3.png,76.4,75.1,72.3,68.8,65.9
case238,case1-30-0-1-3-4-1-4-1-0-6.png,68.8,48.6,38.7,37.6,43.6
case239,case1-30-0-1-3-4-1-8-0-0-3.png,81.7,85.1,82.6,75.9,70.9
case240,case1-30-0-1-3-4-1-8-0-0-6.png,59.1,47.2,39.3,39,43.8
case241,case1-30-0-1-3-4-1-8-1-0-3.png,88,86.9,83.7,76,71
case242,case1-30-0-1-3-4-1-8-1-0-6.png,76.2,62.5,56.7,52,55.6
case243,case1-30-0-1-3-4-1-12-0-0-3.png,89.6,88.6,85,79.2,73.5
case244,case1-30-0-1-3-4-1-12-0-0-6.png,32.9,38.7,37,35.2,29.2
case245,case1-30-0-1-3-4-1-12-1-0-3.png,44.8,52.2,53.6,50.1,43.4
case246,case1-30-0-1-3-4-1-12-1-0-6.png,44.7,50.4,48.4,44.9,41.6
case247,case1-30-0-1-3-10-0-0-0-0-0.png,54.2,59.6,61.8,59.4,57.2
case248,case1-30-0-1-3-10-1-0-0-0-0.png,50.7,55.8,55,50.7,47.8
case249,case1-30-0-1-3-10-1-0-1-0-0.png,59,64,66.2,63.5,61.7
case250,case1-30-0-1-3-10-1-4-0-0-3.png,42.9,39.8,38.8,39.2,36.2
case251,case1-30-0-1-3-10-1-4-0-0-6.png,68,60.2,56.1,56.2,54.3
case252,case1-30-0-1-3-10-1-4-1-0-3.png,49.9,49.6,45.7,45.1,42.6
case253,case1-30-0-1-3-10-1-4-1-0-6.png,73.1,66.4,62,60.3,58.8
case254,case1-30-0-1-3-10-1-8-0-0-3.png,59.7,61.2,57.2,54.2,49.6
case255,case1-30-0-1-3-10-1-8-0-0-6.png,76.5,75.3,72.3,68.8,65.9
case256,case1-30-0-1-3-10-1-8-1-0-3.png,39.6,44.7,38.4,38.5,43.5
case257,case1-30-0-1-3-10-1-8-1-0-6.png,87.6,90.3,86.6,76.6,70.6
case258,case1-30-0-1-3-10-1-12-0-0-3.png,43.9,44.8,39.4,39.4,44.2
case259,case1-30-0-1-3-10-1-12-0-0-6.png,88.4,90.3,86.4,76.3,70.5
case260,case1-30-0-1-3-10-1-12-1-0-3.png,50.4,57,55.4,51.5,55.2
case261,case1-30-0-1-3-10-1-12-1-0-6.png,88.3,90.6,86.9,79,73.1
case262,case1-30-1-0-1-1-0-0-0-0-0.png,0,0,0,0,0
case263,case1-30-1-0-1-1-0-0-1-0-0.png,57.6,58.5,60.7,56.7,57.8
case264,case1-30-1-0-1-1-0-4-0-0-3.png,62.4,62.2,63.5,61.1,58.9
case265,case1-30-1-0-1-1-0-4-0-0-6.png,74.5,81.2,83.7,82.4,81.4
case266,case1-30-1-0-1-1-0-4-1-0-3.png,79.2,83.4,84,83.9,83.9
case267,case1-30-1-0-1-1-0-4-1-0-6.png,80.8,88,90.7,91,91.2
case268,case1-30-1-0-1-1-0-8-0-0-3.png,85.9,88.8,89.8,89.6,89.4
case269,case1-30-1-0-1-1-0-8-0-0-6.png,86.1,91.4,93.5,93.9,94.2
case270,case1-30-1-0-1-1-0-8-1-0-3.png,0,0,0,0,0
case271,case1-30-1-0-1-1-0-8-1-0-6.png,88.8,87.1,85.8,86,85.9
case272,case1-30-1-0-1-1-0-12-0-0-3.png,90.9,89.4,83.3,84.5,82.8
case273,case1-30-1-0-1-1-0-12-0-0-6.png,95,96,96.2,96.6,96.3
case274,case1-30-1-0-1-1-0-12-1-0-3.png,91.1,93.7,92.8,91.8,90.8
case275,case1-30-1-0-1-1-0-12-1-0-6.png,95.7,96.8,97.1,97.5,97.3
case276,case1-30-1-0-1-4-0-0-0-0-0.png,96.6,96,96.3,96.2,95.3
case277,case1-30-1-0-1-4-0-0-1-0-0.png,96.6,97.8,98.1,98.4,98.3
case278,case1-30-1-0-1-4-0-4-0-0-3.png,0,0,0,0,0
case279,case1-30-1-0-1-4-0-4-0-0-6.png,34.6,46.5,45.3,47.7,50.3
case280,case1-30-1-0-1-4-0-4-1-0-3.png,74.6,79.5,79.3,77.8,79.2
case281,case1-30-1-0-1-4-0-4-1-0-6.png,73.1,78.1,79.2,79.7,79.4
case282,case1-30-1-0-1-4-0-8-0-0-3.png,84.4,89.7,91.2,91.3,91
case283,case1-30-1-0-1-4-0-8-0-0-6.png,83.9,88.9,90.1,90.6,91.3
case284,case1-30-1-0-1-4-0-8-1-0-3.png,89.5,93.5,94.7,95.2,95.5
case285,case1-30-1-0-1-4-0-8-1-0-6.png,87.5,92.6,93.3,93.7,94.1
case286,case1-30-1-0-1-4-0-12-0-0-3.png,74.6,79.5,79.3,77.8,79.2
case287,case1-30-1-0-1-4-0-12-0-0-6.png,0,0,0,0,0
case288,case1-30-1-0-1-4-0-12-1-0-3.png,1.3,-1.9,5.3,1.6,10.9
case289,case1-30-1-0-1-4-0-12-1-0-6.png,90.3,88.1,89.3,88.4,89.1
case290,case1-30-1-0-1-10-0-0-0-0-0.png,91.4,89.1,84,84.1,84.1
case291,case1-30-1-0-1-10-0-0-1-0-0.png,96,96.2,96.8,96.7,96.9
case292,case1-30-1-0-1-10-0-4-0-0-3.png,92.7,93,93.2,91.5,91.4
case293,case1-30-1-0-1-10-0-4-0-0-6.png,96.8,97,97.5,97.5,97.7
case294,case1-30-1-0-1-10-0-4-1-0-3.png,96.7,96.2,96.4,95.8,95.5
case295,case1-30-1-0-1-10-0-4-1-0-6.png,97.7,97.9,98.3,98.5,98.5
case296,case1-30-1-0-1-10-0-8-0-0-3.png,62,65.3,65.1,63.4,62.5
